strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
6440.0,142.0,681381301.6332586,88560733.40875715,-61029688.84613639,-6773228.30575787,3005.0,-13344148065.949411,-207223402.78753674,1355642914.6051352,62425588.33330219,-12662766764.316153,-118662669.37877959,1294613225.7589989,55652360.02754432,21.161971830985916
6445.0,7.0,40187212.300622,3563750.199213529,-3081779.5642758384,-153933.7406747799,1801.0,-9037554574.960964,-90983481.22731678,868901569.447544,62213679.903604314,-8997367362.660341,-87419731.02810325,865819789.8832681,62059746.162929535,
6450.0,4291.0,27807768563.947998,2628631475.8005567,-2168702494.021095,-264607714.95698985,19066.0,-89902525983.06586,-1070190430.8595517,8516292110.706465,605403846.8733505,-62094757419.11786,1558441044.941005,6347589616.6853695,340796131.9163606,4.443253320904218
6455.0,12.0,82629670.19290973,7341504.026777722,-6335557.000494576,-761989.1177521904,1911.0,-8177359265.797048,-72950188.1453851,817571342.8671056,57497885.52623816,-8094729595.604137,-65608684.11860738,811235785.866611,56735896.40848597,159.25
6460.0,96.0,669330778.7931381,57351617.21503099,-51416672.939140014,-5449575.831771803,3722.0,-20729311967.56017,-300547621.5258031,1889172901.8227007,92630906.173004,-20059981188.767033,-243196004.3107721,1837756228.8835607,87181330.3412322,38.770833333333336
6465.0,3.0,21194971.320769865,1853268.1279372533,-1706116.6978103553,-179253.12148759144,3435.0,-18821117421.998425,-152064976.4096331,1779282803.643734,119938488.41995718,-18799922450.677654,-150211708.28169584,1777576686.9459236,119759235.29846959,
6470.0,192.0,1527913218.3954766,114715022.04246092,-112620418.40708013,-11807166.421608817,4021.0,-26735373096.913475,-297379882.9867859,2223615350.8205605,156556294.78066748,-25207459878.517998,-182664860.94432497,2110994932.4134803,144749128.35905868,20.942708333333332
6475.0,35.0,290187467.16887045,18841321.307487205,-18403772.99175309,-1725824.4411930097,7842.0,-51786736184.69635,-575022575.405144,4447165066.571661,273457044.4750179,-51496548717.52748,-556181254.0976567,4428761293.579908,271731220.0338249,224.05714285714285
6480.0,364.0,3384696903.6467705,212369209.88030073,-232198449.02132535,-23152435.87962488,5429.0,-38268862462.06043,-490096335.1280637,3119894298.038599,178668570.32119608,-34884165558.413666,-277727125.2477629,2887695849.017274,155516134.4415712,14.914835164835164
6485.0,7.0,72011524.60522921,3884363.6603395767,-4252108.068470216,-458162.5928978138,2743.0,-20374491490.213867,-235316487.5512145,1650133604.5735114,95911455.68509062,-20302479965.60864,-231432123.89087492,1645881496.5050411,95453293.0921928,
6490.0,91.0,891201302.0149426,54033795.896382466,-65326180.60623158,-5490318.9201094005,9224.0,-73802961695.07645,-993056867.3138539,5608831480.535173,323985117.9511806,-72911760393.06151,-939023071.4174714,5543505299.928942,318494799.0310712,101.36263736263736
6495.0,25.0,306749708.6844635,14380091.992928145,-18262493.130300645,-1884439.2424954718,4038.0,-36599349016.4172,-376476430.26553637,2750470593.2966037,164849748.7195046,-36292599307.732735,-362096338.2726082,2732208100.166303,162965309.47700912,161.52
6500.0,962.0,10679937109.879848,534649201.9374791,-669664832.4422339,-54876055.728584066,33164.0,-371329711842.7434,-3813426620.6629977,22900473376.12644,1731257781.9992688,-360649774732.8636,-3278777418.7255187,22230808543.684204,1676381726.2706847,34.474012474012476
6505.0,62.0,527440962.79654104,28133676.93587091,-26552819.913044095,-1272951.631857579,5643.0,-62095822557.34361,-516123155.97129965,4427867567.356293,274551244.3549501,-61568381594.54707,-487989479.03542876,4401314747.443249,273278292.7230925,91.01612903225806
6510.0,615.0,8801801559.299347,359612061.5719611,-566414625.3547897,-43878086.59856697,10982.0,-135208543565.44583,-1120737502.2735927,9001212794.677122,566646413.7964672,-126406742006.14648,-761125440.7016315,8434798169.322332,522768327.19790024,17.85691056910569
6515.0,14.0,224341953.70257312,7336426.792326582,-9613216.916574474,-1032622.4793736476,3658.0,-48439239338.243095,-463289027.3151516,2868862847.6685286,179847587.96175122,-48214897384.54052,-455952600.522825,2859249630.751954,178814965.4823776,261.2857142857143
